CHEMBL223340,CCCOC(=O)c1cnc2c(cnn2CC(Cl)c3ccccc3)c1N4CCCC4,0
CHEMBL3121721,CCN(CC)CCOc1ccc(cc1)c2nc3N(C)C(=O)N(C)C(=O)c3[nH]2,1
CHEMBL373578,CONc1nc(nc2c1ncn2[C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C#Cc4cccc(c4)C(F)(F)F,0
CHEMBL410529,CCCN1C(=O)N(CC)c2nc([nH]c2C1=O)c3cnn(c3)c4ccc[n+]([O-])c4,0
CHEMBL190,CN1C(=O)N(C)c2[nH]cnc2C1=O,0
CHEMBL3410300,CCOC(=O)c1nc(N)nc2nn(CC(C)(C)C)cc12,0
CHEMBL3414937,CCn1nnc(n1)[C@H]2O[C@H]([C@H](O)[C@@H]2O)n3cnc4c(N)nc(Cl)nc34,1
CHEMBL1098458,Nc1nc(c2ccccc2)c3C(=O)c4ccc(NCCc5ccncc5)cc4c3n1,1
CHEMBL366216,CN(C)c1ccc(Nc2nc(NC3CCCCC3)c4[nH]cnc4n2)cc1,0
CHEMBL466044,CCC(C)n1cnc2c(N)ncnc12,0
CHEMBL188592,C1CCC(CC1)Nc2[nH]c(Nc3ccccc3)nc4ncnc24,0
CHEMBL251997,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n2cnc3c(NC4CCCC4)nc(Cl)nc23,1
CHEMBL464859,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23,1
CHEMBL2261733,O=C1CC(CC2=C1C=C(C(=O)N2)S(=O)(=O)c3ccccc3)c4ccccc4,0
CHEMBL304009,CCn1cnc2c(N)ncnc12,0
CHEMBL261754,CN(C)c1nc(c2cc3ccccc3s2)c4sccc4n1,0
CHEMBL468256,Nc1nc(c2occc2)c3nnn(Cc4ccc5[nH]ccc5c4)c3n1,1
CHEMBL1090811,Cn1cc2c(nc(N)n3nc(nc23)c4ccc(Br)cc4)n1,0
CHEMBL1095172,Nc1nc(c2ccccc2)c3C(=O)c4ccc(NCCN5CCOCC5)cc4c3n1,1
CHEMBL254064,CNC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc23)[C@](C)(O)[C@@H]1O,0
CHEMBL329294,COc1ccc2c(O)cc(nc2n1)c3ccccc3,0
CHEMBL252069,O=C1Nc2nc([nH]c2C(=O)N1CC3CC3)c4cnn(Cc5ccccc5)c4,0
CHEMBL168912,COc1cccc(c1)c2n[nH]c(CCc3ccc(Cl)c(Cl)c3)n2,0
CHEMBL523797,O[C@H]1[C@@H](O)[C@@H]([C@H]2C[C@@H]12)n3cnc4c(NCc5cccc(Cl)c5)nc(Cl)nc34,0
CHEMBL2113453,Nc1nc(N=NNC(=O)c2ccccc2)nc3c1ncn3[C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O,0
CHEMBL104998,CC(=O)Nc1ccc(cc1)c2cc(O)c3ccc(C)nc3n2,0
CHEMBL259319,O=C(Nc1nc(c2ccccc2)c(C#N)c(n1)c3ccc4OCOc4c3)C5CCCC5,1
CHEMBL3121722,CN1C(=O)N(C)c2nc([nH]c2C1=O)c3ccc(OCCC4CCNCC4)cc3,1
CHEMBL1088235,Nc1nc(c2ccccc2)c3C(=O)c4ccc(CNCc5ccccn5)cc4c3n1,1
CHEMBL3741942,CCCn1cnc2c(N)nc(NCCCc3ccccc3)nc12,0
CHEMBL3088337,Clc1ccc(Nc2nc3c(Cl)ncnc3s2)cc1,0
CHEMBL3410301,CCOC(=O)c1nc(N)nc2nn(CCc3ccccc3)cc12,0
CHEMBL3314909,CCOC(=O)c1cnc(N(C)C)n2nc(nc12)c3occc3,0
CHEMBL323303,Cc1ccc2c(O)cc(nc2n1)c3cccc(N)c3,0
CHEMBL201145,CCCN1C(=O)N(CCC)c2cc([nH]c2C1=O)c3ccc(OCC(=O)Nc4ccc(Br)cc4)cc3,1
CHEMBL103559,CCOc1cc(nc2nc(Br)ccc12)c3ccccc3,0
CHEMBL3828648,Fc1cccc(F)c1Nc2nc3c(Cl)ncnc3s2,0
CHEMBL1088247,Nc1nc(c2ccccc2)c3C(=O)c4ccc(CNN5CCOCC5)cc4c3n1,1
